In Point;Out Point;Length;Earliest Arrival;In Time;Out Time Head; Out Time Tail;Time spend;Speed
WER_0;WER_7;31.8;0.06;0.06;2.18;3.51333;2.12;15
SNR_0;SNR_7;31.8;0.84;2.23333;4.35333;5.68667;2.12;15
SNL_0;SNL_7;31.8;0.46;2.03333;4.15333;5.48667;2.12;15
EWL_0;EWL_7;31.8;0.82;0.82;2.94;4.27333;2.12;15
WEL_0;WEL_7;31.8;1.39;2.92667;5.04667;6.38;2.12;15
WSR_0;WSR_1;15.0796;1.12;1.39333;2.39864;5.09641;1.00531;15
EWL_0;EWL_7;31.8;1.11;4.71333;6.83333;8.16667;2.12;15
NWR_0;NWR_1;15.0796;2.5;2.5;3.50531;6.20308;1.00531;15
SER_0;SER_1;15.0796;3.1;3.56667;4.57198;7.26974;1.00531;15
NSL_0;NSL_7;31.8;3.46;3.82;5.94;7.27333;2.12;15
SER_0;SER_1;15.0796;3.16;6.26443;7.26974;9.96751;1.00531;15
SNL_0;SNL_7;31.8;4.46;5.60667;7.72667;9.06;2.12;15
EWR_0;EWR_7;31.8;4.31;4.51333;6.63333;7.96667;2.12;15
NSR_0;NSR_7;31.8;6.57;6.68667;8.80667;10.14;2.12;15
WER_0;WER_7;31.8;6.42;8.86;10.98;12.3133;2.12;15
SNL_0;SNL_7;31.8;7.44;7.44;9.56;10.8933;2.12;15
